NO,WL
561,1538.831
562,1538.854
563,1538.878
564,1538.922
565,1538.932
566,1538.964
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,1538.877
626,1538.852
627,1538.853
628,1538.842
629,1538.83
630,1538.819
631,1538.812
632,1538.806
633,1538.795
634,1538.782
635,1538.774
636,1538.768
637,1538.766
638,1538.76
639,1538.756
640,1538.755
641,1538.752
642,1538.75
643,1538.746
644,1538.747
645,1538.748
646,1538.746
647,1538.746
648,1538.746
649,1538.746
650,1538.745
651,1538.748
652,1538.748
653,1538.751
654,1538.752
655,1538.754
656,1538.759
657,1538.766
658,1538.768
659,1538.772
660,1538.781
661,1538.787
662,1538.795
663,1538.808
664,1538.819
665,1538.831
666,1538.854
667,1538.878
668,1538.922
669,1538.932
670,1538.964
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,1538.877
730,1538.852
731,1538.853
732,1538.842
733,1538.83
734,1538.819
735,1538.812
736,1538.806
737,1538.795
738,1538.782
739,1538.774
740,1538.768
741,1538.766
742,1538.76
743,1538.756
744,1538.755
745,1538.752
746,1538.75
747,1538.746
748,1538.747
749,1538.748
750,1538.746
751,1538.746
752,1538.746
753,1538.746
754,1538.745
755,1538.748
756,1538.748
757,1538.751
758,1538.752
759,1538.754
760,1538.759
761,1538.766
762,1538.768
763,1538.772
764,1538.781
765,1538.787
766,1538.795
767,1538.808
768,1538.819
769,1538.831
770,1538.854
771,1538.878
772,1538.922
773,1538.932
774,1538.964
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,1538.877
834,1538.852
835,1538.853
836,1538.842
837,1538.83
838,1538.819
839,1538.812
840,1538.806
841,1538.795
842,1538.782
843,1538.774
844,1538.768
845,1538.766
846,1538.76
847,1538.756
848,1538.755
849,1538.752
850,1538.75
851,1538.746
852,1538.747
853,1538.748
854,1538.746
855,1538.746
856,1538.746
857,1538.746
858,1538.745
859,1538.748
860,1538.748
861,1538.751
862,1538.752
863,1538.754
864,1538.759
865,1538.766
866,1538.768
867,1538.772
868,1538.781
869,1538.787
870,1538.795
871,1538.808
872,1538.819
873,1538.831
874,1538.854
875,1538.878
876,1538.922
877,1538.932
878,1538.964
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
